epoch,train_loss,train_acc,val_loss,val_acc
1,0.6974565386772156,0.225,0.7658829092979431,0.035
2,0.6663089990615845,0.43,0.6652618050575256,0.698
3,0.6318246722221375,0.664,0.6253505945205688,0.781
4,0.6127001047134399,0.726,0.6068443655967712,0.813
5,0.6023019552230835,0.757,0.6443273425102234,0.769
6,0.5933008790016174,0.762,0.6597670912742615,0.747
7,0.588449239730835,0.764,0.5808953642845154,0.842
8,0.5845038890838623,0.775,0.7011509537696838,0.693
9,0.5766566395759583,0.771,0.561131477355957,0.84
10,0.5725914239883423,0.781,0.5446975827217102,0.85
11,0.5706760287284851,0.782,0.5953046083450317,0.796
12,0.5628911256790161,0.788,0.5302661657333374,0.862
13,0.5580875873565674,0.789,0.5673666596412659,0.824
14,0.5515521764755249,0.795,0.6640443801879883,0.726
15,0.5463756918907166,0.8,0.5584791898727417,0.818
16,0.5446803569793701,0.803,0.5728496313095093,0.818
17,0.5387791991233826,0.806,0.5671617984771729,0.824
18,0.5334823131561279,0.806,0.47251570224761963,0.905
19,0.5402840971946716,0.806,0.5683164596557617,0.814
20,0.529553234577179,0.813,0.5260971784591675,0.833
21,0.5380519032478333,0.806,0.52242112159729,0.849
22,0.5247101187705994,0.811,0.6018595099449158,0.797
23,0.5209223628044128,0.818,0.657384991645813,0.758
24,0.5185461640357971,0.818,0.534920334815979,0.849
25,0.5189693570137024,0.812,0.5537100434303284,0.823
26,0.5111056566238403,0.819,0.48412448167800903,0.87
27,0.5091264843940735,0.822,0.46082013845443726,0.885
28,0.5131973028182983,0.825,0.5179089903831482,0.843
29,0.5038900971412659,0.82,0.5199776291847229,0.843
30,0.5044994354248047,0.822,0.5579597353935242,0.825
31,0.49831220507621765,0.826,0.5369860529899597,0.832
32,0.497198224067688,0.82,0.5864344835281372,0.796
33,0.499423623085022,0.822,0.5364825129508972,0.831
34,0.4881073236465454,0.829,0.5822012424468994,0.81
35,0.4891759157180786,0.827,0.5761139988899231,0.805
36,0.48408666253089905,0.827,0.46462446451187134,0.867
37,0.4824126362800598,0.835,0.5441434383392334,0.816
38,0.4798501133918762,0.83,0.5331663489341736,0.832
39,0.46812349557876587,0.843,0.5279879570007324,0.836
40,0.4656985104084015,0.84,0.524789571762085,0.837
41,0.46388691663742065,0.844,0.5134010314941406,0.844
42,0.46136152744293213,0.84,0.5087058544158936,0.847
43,0.4615100026130676,0.842,0.505755603313446,0.85
44,0.46200117468833923,0.84,0.5127115249633789,0.846
45,0.4613501727581024,0.842,0.5099766850471497,0.847
46,0.45794442296028137,0.84,0.505124568939209,0.848
47,0.45934370160102844,0.844,0.5301889777183533,0.831
48,0.4585460126399994,0.844,0.5345194935798645,0.828
49,0.4580850303173065,0.841,0.5364412665367126,0.827
50,0.4565945863723755,0.84,0.5281084775924683,0.832
51,0.4536581039428711,0.842,0.522979199886322,0.836
